t,firm_id,firm_name,inbound_units,outbound_units,open_orders
7,117,firm148,0.0,0.0,39
7,118,firm149,4.0,0.0,27
8,0,firm0,21455.0,63016.0,13
8,1,firm1,47064.0,7314.0,4
8,2,firm2,21504.0,5994.0,6
8,3,firm4,104740.0,129686.0,34
8,4,firm5,30200.0,190074.0,28
8,5,firm6,0.0,24164.0,6
8,6,firm7,55296.0,0.0,7
8,7,firm8,2944.0,12476.0,5
8,8,firm9,53496.0,6046.0,11
8,9,firm10,0.0,0.0,1
8,10,firm11,0.0,28804.0,4
8,11,firm12,3200.0,240.0,7
8,12,firm13,0.0,0.0,0
8,13,firm14,0.0,0.0,0
8,14,firm16,19090.0,16580.0,11
8,15,firm17,0.0,0.0,0
8,16,firm18,3520.0,39739.0,22
8,17,firm19,98344.0,26159.0,16
8,18,firm20,0.0,18892.0,0
8,19,firm21,0.0,6980.0,4
8,20,firm23,0.0,19560.0,4
8,21,firm24,18464.0,16416.0,3
8,22,firm25,2840.0,1626.0,3
8,23,firm29,52024.0,530354.0,81
8,24,firm30,4872.0,0.0,13
8,25,firm31,60780.0,10238.0,21
8,26,firm32,418.0,42.0,14
8,27,firm33,71354.0,24776.0,41
8,28,firm34,0.0,80.0,1
8,29,firm36,9692.0,1744.0,9
8,30,firm37,912.0,2924.0,12
8,31,firm39,0.0,312.0,3
8,32,firm40,48036.0,8606.0,17
8,33,firm42,307.0,40.0,15
8,34,firm43,0.0,0.0,0
8,35,firm44,9516.0,3873.0,54
8,36,firm45,0.0,0.0,3
8,37,firm46,4068.0,40952.0,24
8,38,firm47,18444.0,2652.0,44
8,39,firm48,1176.0,1140.0,10
8,40,firm49,28124.0,4574.0,7
8,41,firm50,56826.0,7289.0,67
8,42,firm52,0.0,72.0,8
8,43,firm53,272.0,48.0,7
8,44,firm54,4300.0,1332.0,2
8,45,firm55,184986.0,12445.0,57
8,46,firm56,0.0,56.0,1
8,47,firm57,95282.0,5130.0,23
8,48,firm58,0.0,0.0,2
8,49,firm59,38304.0,3733.0,20
8,50,firm60,0.0,0.0,1
8,51,firm61,0.0,104.0,5
8,52,firm64,8502.0,770.0,43
8,53,firm66,7812.0,83.0,10
8,54,firm67,2576.0,3533.0,38
8,55,firm68,492.0,68.0,32
8,56,firm69,648.0,32.0,5
8,57,firm70,1970.0,190.0,43
8,58,firm71,5060.0,48.0,2
8,59,firm72,3308.0,836.0,20
8,60,firm73,35.0,0.0,4
8,61,firm74,0.0,0.0,4
8,62,firm76,15429.0,638.0,153
8,63,firm77,28.0,0.0,4
8,64,firm78,21174.0,48.0,48
