t,firm_id,firm_name,inbound_units,outbound_units,open_orders
42,34,firm48,0.0,267.0,0
42,35,firm49,45220.0,3744.0,66
42,36,firm51,288.0,1372.0,3
42,37,firm52,6684.0,0.0,19
42,38,firm53,1332.0,1342.0,11
42,39,firm54,2128.0,2065.0,9
42,40,firm55,14780.0,1684.0,23
42,41,firm56,56264.0,11346.0,36
42,42,firm57,79728.0,7052.0,31
42,43,firm58,1736.0,368.0,12
42,44,firm59,2928.0,6504.0,4
42,45,firm60,2738.0,431.0,52
42,46,firm61,62.0,576.0,5
42,47,firm62,1960.0,154.0,11
42,48,firm63,2035.0,245.0,29
42,49,firm64,896.0,995.0,89
42,50,firm65,1944.0,176.0,12
42,51,firm66,120.0,0.0,37
42,52,firm67,2028.0,153.0,47
42,53,firm68,900.0,0.0,4
42,54,firm69,128.0,521.0,6
42,55,firm70,4751.0,1076.0,63
42,56,firm71,5348.0,1412.0,46
42,57,firm72,1989.0,272.0,45
42,58,firm74,6322.0,3810.0,39
42,59,firm76,960.0,0.0,11
42,60,firm78,5244.0,185.0,47
42,61,firm79,3460.0,2.0,36
42,62,firm80,5010.0,3199.0,212
42,63,firm81,9164.0,275.0,50
42,64,firm82,54.0,0.0,2
42,65,firm83,76.0,0.0,15
42,66,firm85,2752.0,0.0,43
42,67,firm87,228.0,0.0,7
42,68,firm88,0.0,0.0,1
42,69,firm91,220.0,0.0,21
42,70,firm92,26.0,3.0,35
42,71,firm93,108.0,0.0,30
42,72,firm95,27.0,0.0,24
42,73,firm96,53.0,119.0,45
42,74,firm97,1165.0,0.0,8
42,75,firm98,40.0,8.0,27
42,76,firm99,120.0,0.0,43
42,77,firm100,48.0,0.0,6
42,78,firm101,0.0,0.0,1
42,79,firm103,14.0,87.0,42
42,80,firm106,2178.0,246.0,46
42,81,firm107,1461.0,0.0,87
42,82,firm108,5154.0,566.0,133
42,83,firm109,1377.0,285.0,74
42,84,firm110,96.0,0.0,29
42,85,firm111,196.0,20.0,19
42,86,firm113,201.0,0.0,21
42,87,firm114,913.0,64.0,40
42,88,firm115,604.0,49.0,68
42,89,firm116,88.0,36.0,28
42,90,firm117,1882.0,71.0,30
42,91,firm118,390.0,144.0,28
42,92,firm119,39.0,4.0,79
42,93,firm120,6.0,0.0,21
42,94,firm121,61.0,0.0,38
42,95,firm122,34.0,0.0,34
42,96,firm123,33.0,0.0,41
42,97,firm124,126.0,0.0,34
42,98,firm125,11.0,0.0,31
42,99,firm126,80.0,26.0,40
42,100,firm127,4.0,0.0,15
42,101,firm130,35.0,0.0,24
