t,product_id,product_name,tx_units,open_orders,backlog_units,shock_severity
36,11,product11,20288.0,61,0.0,0.0
36,12,product12,40274.0,55,0.0,0.0
36,13,product13,38.0,24,0.0,0.0
36,14,product14,77173.0,56,0.0,0.0
36,15,product15,0.0,15,27.0,0.0
36,16,product16,1036.0,9,0.0,0.0
36,17,product17,0.0,26,50.0,0.0
36,18,product18,12072.0,140,0.0,0.0
36,19,product19,432.0,78,0.0,0.0
36,20,product20,9021.0,63,0.0,0.0
36,21,product21,8513.0,164,0.0,0.0
36,22,product22,370.0,125,0.0,0.0
36,23,product23,2244.0,63,0.0,0.0
36,24,product24,10006.0,157,0.0,0.0
36,25,product25,492.0,270,0.0,0.0
36,26,product26,48.0,182,0.0,0.0
36,27,product27,362.0,39,0.0,0.0
36,28,product28,433.0,280,0.0,0.0
36,29,product29,186.0,18,0.0,0.0
36,30,product30,158.0,20,0.0,0.0
36,31,product31,80.0,29,0.0,0.0
36,32,product32,635.0,211,0.0,0.0
36,33,product33,0.0,96,0.0,0.0
36,34,product34,139.0,157,0.0,0.0
36,35,product35,0.0,153,304.0,0.0
36,36,product36,0.0,159,331.0,0.0
36,37,product37,0.0,234,0.0,0.0
36,38,product38,72.0,32,0.0,0.0
36,39,product39,18.0,66,0.0,0.0
36,40,product40,0.0,202,0.0,0.0
36,41,product41,26.0,163,0.0,0.0
36,42,product42,86.0,293,0.0,0.0
36,43,product43,71.0,82,0.0,0.0
36,44,product44,4.0,173,0.0,0.0
36,45,product45,0.0,193,560.0,0.0
36,46,product46,0.0,113,194.0,0.0
36,47,product47,0.0,119,198.0,0.0
36,48,product48,0.0,205,568.0,0.0
36,49,product49,0.0,233,359.0,0.0
37,0,product0,182362.0,24,0.0,0.00105
37,1,product1,262250.0,15,0.0,0.000201
37,2,product2,371564.0,21,0.0,0.000775
37,3,product3,143092.0,18,0.0,0.000459
37,4,product4,159500.0,38,0.0,0.891691
37,5,product5,27040.0,89,0.0,0.0
37,6,product6,1028.0,6,0.0,0.0
37,7,product7,35493.0,43,0.0,0.0
37,8,product8,24.0,5,0.0,0.0
37,9,product9,1732.0,16,0.0,0.0
37,10,product10,1152.0,39,0.0,0.0
37,11,product11,18827.0,61,0.0,0.0
37,12,product12,40467.0,54,0.0,0.0
37,13,product13,50.0,24,0.0,0.0
37,14,product14,74580.0,56,0.0,0.0
37,15,product15,0.0,17,26.0,0.0
37,16,product16,768.0,6,0.0,0.0
37,17,product17,0.0,26,51.0,0.0
37,18,product18,5057.0,139,0.0,0.0
37,19,product19,472.0,76,0.0,0.0
37,20,product20,8655.0,60,0.0,0.0
37,21,product21,18357.0,131,0.0,0.0
37,22,product22,2156.0,104,0.0,0.0
37,23,product23,4702.0,59,0.0,0.0
37,24,product24,4318.0,159,0.0,0.0
37,25,product25,195.0,271,0.0,0.0
37,26,product26,168.0,161,0.0,0.0
37,27,product27,504.0,37,0.0,0.0
37,28,product28,1239.0,275,0.0,0.0
37,29,product29,210.0,19,0.0,0.0
37,30,product30,58.0,18,0.0,0.0
37,31,product31,13.0,32,0.0,0.0
37,32,product32,534.0,206,0.0,0.0
37,33,product33,928.0,94,0.0,0.0
37,34,product34,328.0,156,0.0,0.0
37,35,product35,0.0,151,292.0,0.0
37,36,product36,0.0,164,340.0,0.0
37,37,product37,0.0,243,0.0,0.0
37,38,product38,38.0,29,0.0,0.0
37,39,product39,2.0,68,0.0,0.0
37,40,product40,140.0,196,0.0,0.0
37,41,product41,48.0,161,0.0,0.0
37,42,product42,98.0,301,0.0,0.0
37,43,product43,80.0,81,0.0,0.0
37,44,product44,81.0,169,0.0,0.0
37,45,product45,0.0,200,590.0,0.0
37,46,product46,0.0,115,192.0,0.0
37,47,product47,0.0,123,202.0,0.0
37,48,product48,0.0,213,594.0,0.0
37,49,product49,0.0,240,374.0,0.0
38,0,product0,133099.0,27,0.0,0.0
38,1,product1,185910.0,15,0.0,5e-05
38,2,product2,277534.0,23,0.0,0.000327
38,3,product3,100337.0,19,0.0,0.000505
38,4,product4,165616.0,22,0.0,0.864375
38,5,product5,39388.0,68,0.0,0.0
38,6,product6,1672.0,6,0.0,0.0
38,7,product7,36005.0,40,0.0,0.0
38,8,product8,28.0,5,0.0,0.0
38,9,product9,3112.0,16,0.0,0.0
38,10,product10,1584.0,30,0.0,0.0
38,11,product11,21668.0,60,0.0,0.0
38,12,product12,26925.0,57,0.0,0.0
38,13,product13,50.0,24,0.0,0.0
38,14,product14,77162.0,53,0.0,0.0
38,15,product15,0.0,18,22.0,0.0
38,16,product16,1332.0,6,0.0,0.0
38,17,product17,0.0,23,49.0,0.0
38,18,product18,6051.0,120,0.0,0.0
38,19,product19,568.0,65,0.0,0.0
38,20,product20,8136.0,54,0.0,0.0
38,21,product21,15493.0,114,0.0,0.0
38,22,product22,1406.0,97,0.0,0.0
38,23,product23,2958.0,58,0.0,0.0
38,24,product24,5236.0,160,0.0,0.0
38,25,product25,903.0,247,0.0,0.0
